No.,Date,Time
1,2025-09-23 19:42:17,3:21.27
2,2025-09-23 22:00:08,3:34.10
3,2025-09-23 22:05:05,3:03.52
4,2025-09-24 22:19:28,2:59.98
5,2025-09-24 22:24:13,3:09.96
6,2025-09-24 22:30:32,2:32.16
7,2025-09-25 19:57:23,2:16.24
8,2025-09-25 21:01:47,2:51.85
9,2025-09-25 21:13:50,2:36.31
10,2025-09-25 21:35:43,2:44.25
11,2025-09-25 21:49:28,2:15.51
12,2025-09-25 21:56:58,2:33.96
13,2025-09-25 22:02:49,2:40.86
14,2025-09-26 19:17:35,2:28.54
15,2025-09-26 19:27:52,2:27.51
16,2025-09-26 19:35:07,2:15.70
17,2025-09-26 20:31:00,2:38.63
18,2025-09-26 21:09:03,2:46.29
19,2025-09-26 21:13:05,2:34.09
20,2025-09-26 21:16:42,2:31.56
21,2025-09-26 22:00:58,2:02.75
22,2025-09-27 21:32:05,2:14.94
23,2025-09-27 21:36:05,2:26.18
24,2025-09-27 21:40:28,2:24.00
25,2025-09-27 21:45:17,2:10.25
26,2025-09-27 21:55:08,2:02.65
27,2025-09-27 22:05:15,2:23.96
28,2025-09-27 22:11:58,2:09.62
29,2025-09-27 22:15:21,2:15.93
30,2025-09-27 22:18:37,2:21.07
31,2025-09-27 22:22:38,2:43.00
32,2025-09-27 22:26:09,2:20.26
33,2025-09-27 22:33:36,1:51.35
34,2025-09-28 21:55:35,2:14.90
35,2025-09-28 22:00:26,2:11.42
36,2025-09-28 22:05:42,2:30.36
37,2025-09-28 22:23:40,2:03.07
38,2025-09-28 22:28:11,2:46.82
39,2025-09-28 22:37:17,2:06.72
40,2025-09-28 22:40:55,2:22.51
41,2025-09-28 22:44:53,1:59.03
42,2025-09-28 22:49:20,2:16.56
43,2025-09-29 00:04:20,2:30.21
44,2025-09-29 00:16:52,2:01.81
45,2025-09-29 00:20:41,1:56.81
46,2025-09-29 00:24:04,2:06.78
47,2025-09-29 00:27:59,2:18.77
48,2025-09-29 00:31:43,2:01.89
49,2025-09-29 00:37:53,2:00.23
50,2025-09-29 00:41:14,1:48.42
51,2025-09-29 17:14:41,2:12.96
52,2025-09-29 17:18:13,2:06.19
53,2025-09-29 17:21:32,1:58.73
54,2025-09-29 17:31:12,2:04.61
55,2025-09-29 17:34:52,2:12.93
56,2025-09-29 17:40:47,2:19.98
57,2025-09-29 17:44:01,1:53.08
58,2025-09-29 18:41:24,2:30.79
59,2025-09-29 21:02:52,2:02.19
60,2025-09-29 21:07:33,1:26.60
61,2025-09-29 21:12:33,1:53.59
62,2025-09-29 21:16:17,1:36.56
63,2025-09-29 21:19:45,1:55.78
64,2025-09-29 21:23:18,2:13.37
65,2025-09-30 19:12:11,1:54.10
66,2025-09-30 19:21:21,2:29.78
67,2025-09-30 19:24:55,1:54.14
68,2025-09-30 19:28:06,2:07.66
69,2025-09-30 19:31:42,1:55.45
70,2025-09-30 19:37:23,2:06.93
71,2025-09-30 19:41:19,2:13.80
72,2025-09-30 20:05:10,1:56.82
73,2025-10-01 19:59:34,1:55.07
74,2025-10-01 20:03:46,1:52.79
75,2025-10-01 20:09:56,1:52.51
76,2025-10-01 20:13:12,2:07.45
77,2025-10-01 20:25:09,2:11.75
78,2025-10-01 20:53:40,2:05.93
79,2025-10-01 20:59:10,1:51.28
80,2025-10-01 21:30:54,1:54.80
81,2025-10-01 21:34:12,2:11.00
82,2025-10-01 21:40:09,1:55.96
83,2025-10-01 21:47:12,1:36.59
84,2025-10-02 17:08:23,1:46.71
85,2025-10-02 17:11:38,1:54.83
86,2025-10-02 17:17:36,1:55.25
87,2025-10-02 17:21:24,1:57.81
88,2025-10-02 17:25:36,2:01.82
89,2025-10-02 17:30:29,2:02.65
90,2025-10-02 17:34:09,2:15.18
91,2025-10-02 20:40:25,1:50.79
92,2025-10-02 20:52:21,1:50.28
93,2025-10-02 22:06:26,1:50.53
94,2025-10-02 22:09:41,1:57.22
95,2025-10-02 22:13:04,1:46.16
96,2025-10-02 22:16:28,1:53.56
97,2025-10-02 22:21:33,2:12.32
98,2025-10-02 22:24:46,1:57.50
99,2025-10-02 22:27:47,1:49.10
100,2025-10-02 22:30:31,1:45.69
101,2025-10-03 18:05:40,1:57.87
102,2025-10-03 18:08:58,2:19.64
103,2025-10-03 18:12:52,1:44.64
104,2025-10-03 18:19:18,2:00.00
105,2025-10-03 18:22:55,1:53.77
106,2025-10-03 18:26:49,2:02.91
107,2025-10-03 18:38:35,1:46.39
108,2025-10-03 18:48:34,1:45.35
109,2025-10-03 18:51:44,1:48.82
110,2025-10-03 18:54:47,1:53.19
111,2025-10-03 18:58:20,1:49.23
112,2025-10-03 19:06:37,1:58.60
113,2025-10-03 19:45:33,1:43.28
114,2025-10-03 19:48:22,1:51.99
115,2025-10-03 19:51:37,1:46.38
116,2025-10-03 19:54:20,1:48.30
117,2025-10-03 19:57:07,1:54.55
118,2025-10-03 20:35:20,1:57.21
119,2025-10-03 20:39:20,2:03.88
120,2025-10-03 20:42:28,2:00.68
121,2025-10-03 20:45:24,1:31.10
122,2025-10-03 20:48:31,1:55.64
123,2025-10-03 20:51:32,1:48.50
124,2025-10-03 20:54:18,1:41.92
125,2025-10-03 20:57:01,2:13.94
126,2025-10-03 21:00:13,1:48.34
127,2025-10-03 21:03:15,2:05.31
128,2025-10-03 21:07:06,1:58.26
129,2025-10-03 21:13:30,1:58.61
130,2025-10-03 21:16:52,1:55.33
131,2025-10-03 21:20:10,1:40.18
132,2025-10-03 21:22:56,1:34.57
133,2025-10-03 21:25:23,1:41.68
134,2025-10-03 21:28:10,1:59.62
135,2025-10-03 21:31:14,1:51.09
136,2025-10-03 21:34:08,1:53.95
137,2025-10-03 21:37:06,1:47.87
138,2025-10-04 18:56:39,1:55.54
139,2025-10-04 19:32:09,1:42.98
140,2025-10-04 19:34:46,1:28.29
141,2025-10-04 19:37:17,1:31.51
142,2025-10-04 19:39:49,1:38.88
143,2025-10-04 19:43:24,1:36.57
144,2025-10-04 19:45:58,1:33.43
145,2025-10-04 19:48:44,1:34.71
146,2025-10-04 19:51:22,1:50.46
147,2025-10-04 19:54:13,1:42.57
148,2025-10-04 19:57:11,1:36.07
149,2025-10-04 19:59:49,1:40.69
150,2025-10-04 20:02:41,1:49.90
151,2025-10-04 20:05:25,1:22.78
152,2025-10-04 20:07:53,1:37.26
153,2025-10-04 20:10:23,1:37.80
154,2025-10-04 20:12:58,1:34.81
155,2025-10-04 20:15:30,1:52.44
156,2025-10-04 20:58:37,1:51.57
157,2025-10-04 21:04:47,1:32.76
158,2025-10-04 21:32:49,1:29.39
159,2025-10-04 21:35:00,1:37.29
160,2025-10-04 21:37:31,1:53.51
161,2025-10-04 21:40:18,1:46.14
162,2025-10-04 21:42:59,1:34.75
163,2025-10-04 21:46:19,1:43.42
164,2025-10-04 21:48:50,1:44.75
165,2025-10-04 21:51:22,1:29.39
166,2025-10-05 14:18:46,1:44.87
167,2025-10-05 14:25:10,1:27.55
168,2025-10-05 14:27:39,1:49.54
169,2025-10-05 14:30:38,1:27.50
170,2025-10-05 14:32:58,1:42.87
171,2025-10-05 14:35:28,1:38.17
172,2025-10-05 14:37:58,1:42.54
173,2025-10-05 14:40:41,1:18.09
174,2025-10-05 14:43:33,1:23.07
175,2025-10-05 14:48:26,1:16.56
176,2025-10-05 21:09:51,1:32.61
177,2025-10-05 21:12:23,1:22.16